Date	Hour_string	UserId	Group	LearningObjective	Correct	Progress	Color
2015-03-23	09 - 10 uur	40267	Getallen	Schatten door afronden	0	-21	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40270	Getallen	Schatten door afronden	0	-70	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40271	Getallen	Afronden op hele getallen	1	15	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40267	Getallen	Schatten door afronden	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40285	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	68421	Getallen	Schatten door afronden	0	-70	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40271	Getallen	Afronden op hele getallen	1	6	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40283	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40267	Getallen	Schatten door afronden	1	8	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40285	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40273	Getallen	Schatten door afronden	0	-19	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40284	Getallen	Afronden op hele getallen	1	33	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40267	Getallen	Schatten door afronden	0	-11	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40285	Getallen	Gehele getallen plaatsen op getallenlijn	0	-10	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40278	Getallen	Schatten door afronden	0	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40267	Getallen	Schatten door afronden	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40284	Getallen	Afronden op hele getallen	1	28	rgba(0, 128, 0, 0.8)
